column,action,method,reason,source_label,source_url
whq070_tried_to_lose_weight,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
ALQ120Q,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
BPXDI1,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
BPXDI2,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
BPXDI3,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
BPXDI4,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
BPXSY1,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
BPXSY2,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
BPXSY3,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
BPXSY4,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
alq130_avg_drinks_per_day,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
calcium_mg_dl,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
crp_mg_dl,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
crp_mg_l,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
dbp_mean,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
hba1c_pct,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
height_cm,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
hemoglobin_g_dl,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
lymphocytes_pct,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
med_count,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
neutrophils_pct,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
nlr,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
ocq180_hours_worked_week,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
potassium_mmol_l,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
rhq060_age_last_period,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
sbp_mean,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
sodium_mmol_l,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
total_protein_g_dl,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
vitamin_b12_serum_pg_ml,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
vitamin_b12_serum_pmol_l,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
vitamin_d_25oh_nmol_l,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
wbc_1000_cells_ul,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
weight_kg,zscore_normalize,sex_age_stratified_zscore_with_gender_then_global_fallback,Continuous numeric column without a curated reference rule.,,
