feature_name,dataset_column,method,sex,age_min,age_max,lower,upper,scale,source_label,source_url,note
hematocrit_pct,LBXHCT_hematocrit,interval,Male,36.0,60.0,38.8,51.0,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hematocrit_pct,LBXHCT_hematocrit,interval,Male,61.0,70.0,37.0,51.0,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hematocrit_pct,LBXHCT_hematocrit,interval,Male,71.0,79.0,35.0,51.0,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hematocrit_pct,LBXHCT_hematocrit,interval,Female,20.0,45.0,32.5,45.2,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hematocrit_pct,LBXHCT_hematocrit,interval,Female,46.0,50.0,32.5,46.8,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
hematocrit_pct,LBXHCT_hematocrit,interval,Female,51.0,79.0,34.2,46.8,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
rbc_million_cells_ul,LBXRBCSI_red_blood_cell_count_million_cells_ul,interval,Male,20.0,35.0,4.42,5.82,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
rbc_million_cells_ul,LBXRBCSI_red_blood_cell_count_million_cells_ul,interval,Male,36.0,50.0,4.23,5.82,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
rbc_million_cells_ul,LBXRBCSI_red_blood_cell_count_million_cells_ul,interval,Male,51.0,60.0,4.23,5.69,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
rbc_million_cells_ul,LBXRBCSI_red_blood_cell_count_million_cells_ul,interval,Male,61.0,79.0,3.9,5.69,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
rbc_million_cells_ul,LBXRBCSI_red_blood_cell_count_million_cells_ul,interval,Female,20.0,79.0,3.72,5.2,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
wbc_1000_cells_ul,LBXWBCSI_white_blood_cell_count_1000_cells_ul,interval,,,,4.5,11.0,,StatPearls WBC reference range,https://www.ncbi.nlm.nih.gov/books/NBK604207/,Adult clinical reference interval; not NHANES-specific.
platelet_1000_cells_ul,LBXPLTSI_platelet_count_1000_cells_ul,interval,Male,15.0,64.0,120.0,369.0,,NHANES III platelet analysis,https://ashpublications.org/blood/article/104/11/3937/78171/,Sex- and age-specific platelet intervals summarized from NHANES III findings.
platelet_1000_cells_ul,LBXPLTSI_platelet_count_1000_cells_ul,interval,Male,65.0,120.0,112.0,361.0,,NHANES III platelet analysis,https://ashpublications.org/blood/article/104/11/3937/78171/,Sex- and age-specific platelet intervals summarized from NHANES III findings.
platelet_1000_cells_ul,LBXPLTSI_platelet_count_1000_cells_ul,interval,Female,15.0,64.0,136.0,436.0,,NHANES III platelet analysis,https://ashpublications.org/blood/article/104/11/3937/78171/,Sex- and age-specific platelet intervals summarized from NHANES III findings.
platelet_1000_cells_ul,LBXPLTSI_platelet_count_1000_cells_ul,interval,Female,65.0,120.0,119.0,396.0,,NHANES III platelet analysis,https://ashpublications.org/blood/article/104/11/3937/78171/,Sex- and age-specific platelet intervals summarized from NHANES III findings.
mcv_fl,LBXMCVSI_mean_cell_volume_fl,interval,Male,20.0,50.0,81.2,97.3,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mcv_fl,LBXMCVSI_mean_cell_volume_fl,interval,Male,51.0,79.0,81.2,100.0,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mcv_fl,LBXMCVSI_mean_cell_volume_fl,interval,Female,20.0,40.0,75.9,97.4,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mcv_fl,LBXMCVSI_mean_cell_volume_fl,interval,Female,41.0,55.0,71.6,99.2,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mcv_fl,LBXMCVSI_mean_cell_volume_fl,interval,Female,56.0,79.0,79.7,99.2,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mch_pg,LBXMCHSI_mean_cell_hemoglobin_pg,interval,Male,20.0,35.0,27.1,33.4,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mch_pg,LBXMCHSI_mean_cell_hemoglobin_pg,interval,Male,36.0,50.0,27.1,34.0,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mch_pg,LBXMCHSI_mean_cell_hemoglobin_pg,interval,Male,51.0,75.0,27.1,34.5,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mch_pg,LBXMCHSI_mean_cell_hemoglobin_pg,interval,Male,76.0,79.0,24.8,34.5,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mch_pg,LBXMCHSI_mean_cell_hemoglobin_pg,interval,Female,20.0,40.0,24.7,33.7,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
mch_pg,LBXMCHSI_mean_cell_hemoglobin_pg,interval,Female,41.0,79.0,24.7,34.3,,Beutler & Waalen 2019 (NHANES 1999-2012),https://pmc.ncbi.nlm.nih.gov/articles/PMC6306047/,2.5th-97.5th percentile reference intervals.
fasting_glucose_mg_dl,fasting_glucose_mg_dl,upper_only,,,,,100.0,100.0,ADA Standards of Care 2025,https://diabetesjournals.org/care/article/48/Supplement_1/S27/157566/,Normal fasting glucose cutoff <100 mg/dL.
fasting_glucose_mg_dl,LBXGLU_fasting_glucose_mg_dl,upper_only,,,,,100.0,100.0,ADA Standards of Care 2025,https://diabetesjournals.org/care/article/48/Supplement_1/S27/157566/,Normal fasting glucose cutoff <100 mg/dL.
hba1c_pct,LBXGH_glycohemoglobin,upper_only,,,,,5.7,5.7,ADA Standards of Care 2025,https://diabetesjournals.org/care/article/48/Supplement_1/S27/157566/,Normal HbA1c cutoff <5.7%.
serum_creatinine_mg_dl,serum_creatinine_mg_dl,interval,Male,18.0,69.0,0.6,1.2,,NIH Clinical Methods creatinine interval,https://www.ncbi.nlm.nih.gov/books/NBK305/,Adult sex-specific reference intervals; dataset age range is 18-65 so elderly rule is not used here.
serum_creatinine_mg_dl,serum_creatinine_mg_dl,interval,Female,18.0,69.0,0.5,1.1,,NIH Clinical Methods creatinine interval,https://www.ncbi.nlm.nih.gov/books/NBK305/,Adult sex-specific reference intervals; dataset age range is 18-65 so elderly rule is not used here.
serum_creatinine_mg_dl,LBXSCR_creatinine_refrigerated_serum_mg_dl,interval,Male,18.0,69.0,0.6,1.2,,NIH Clinical Methods creatinine interval,https://www.ncbi.nlm.nih.gov/books/NBK305/,Adult sex-specific reference intervals; dataset age range is 18-65 so elderly rule is not used here.
serum_creatinine_mg_dl,LBXSCR_creatinine_refrigerated_serum_mg_dl,interval,Female,18.0,69.0,0.5,1.1,,NIH Clinical Methods creatinine interval,https://www.ncbi.nlm.nih.gov/books/NBK305/,Adult sex-specific reference intervals; dataset age range is 18-65 so elderly rule is not used here.
bun_mg_dl,bun_mg_dl,interval,,,,5.0,20.0,,NIH Clinical Methods BUN interval,https://www.ncbi.nlm.nih.gov/books/NBK305/,General adult reference interval.
sodium_mmol_l,LBXSNASI_sodium_mmol_l,interval,,,,135.0,145.0,,ACCP lab values table,https://www.accp.com/docs/sap/Lab_Values_Table_PSAP.pdf,General adult reference interval.
potassium_mmol_l,LBXSKSI_potassium_mmol_l,interval,,,,3.5,5.0,,ACCP lab values table,https://www.accp.com/docs/sap/Lab_Values_Table_PSAP.pdf,General adult reference interval.
bicarbonate_mmol_l,LBXSC3SI_bicarbonate_mmol_l,interval,,,,23.0,29.0,,ACCP lab values table,https://www.accp.com/docs/sap/Lab_Values_Table_PSAP.pdf,General adult reference interval.
calcium_mg_dl,LBXSCA_total_calcium_mg_dl,interval,,,,8.5,10.2,,MedlinePlus CMP,https://medlineplus.gov/lab-tests/comprehensive-metabolic-panel-cmp/,General adult reference interval.
total_protein_g_dl,LBXSTP_total_protein_g_dl,interval,,,,6.0,8.3,,MedlinePlus total protein interval,https://medlineplus.gov/ency/article/003468.htm,General adult reference interval.
serum_albumin_g_dl,serum_albumin_g_dl,interval,,,,3.4,5.4,,MedlinePlus albumin interval,https://medlineplus.gov/ency/article/003468.htm,General adult reference interval.
serum_albumin_g_dl,LBXSAL_albumin_refrigerated_serum_g_dl,interval,,,,3.4,5.4,,MedlinePlus albumin interval,https://medlineplus.gov/ency/article/003468.htm,General adult reference interval.
alt_u_l,alt_u_l,interval,Male,,,7.0,56.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Lab upper-limit reference intervals used for transform.
alt_u_l,alt_u_l,interval,Female,,,7.0,45.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Lab upper-limit reference intervals used for transform.
alt_u_l,LBXSATSI_alanine_aminotransferase_alt_u_l,interval,Male,,,7.0,56.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Lab upper-limit reference intervals used for transform.
alt_u_l,LBXSATSI_alanine_aminotransferase_alt_u_l,interval,Female,,,7.0,45.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Lab upper-limit reference intervals used for transform.
ast_u_l,ast_u_l,interval,Male,,,10.0,40.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Sex-specific AST reference intervals.
ast_u_l,ast_u_l,interval,Female,,,10.0,30.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Sex-specific AST reference intervals.
ast_u_l,LBXSASSI_aspartate_aminotransferase_ast_u_l,interval,Male,,,10.0,40.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Sex-specific AST reference intervals.
ast_u_l,LBXSASSI_aspartate_aminotransferase_ast_u_l,interval,Female,,,10.0,30.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Sex-specific AST reference intervals.
ggt_u_l,ggt_u_l,interval,Male,,,8.0,50.0,,GGT reference review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637680/,Sex-specific adult GGT reference intervals.
ggt_u_l,ggt_u_l,interval,Female,,,5.0,35.0,,GGT reference review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637680/,Sex-specific adult GGT reference intervals.
ggt_u_l,LBXSGTSI_gamma_glutamyl_transferase_ggt_iu_l,interval,Male,,,8.0,50.0,,GGT reference review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637680/,Sex-specific adult GGT reference intervals.
ggt_u_l,LBXSGTSI_gamma_glutamyl_transferase_ggt_iu_l,interval,Female,,,5.0,35.0,,GGT reference review,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637680/,Sex-specific adult GGT reference intervals.
alp_u_l,alp_u_l,interval,Male,,,30.0,115.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Sex-specific adult ALP reference intervals.
alp_u_l,alp_u_l,interval,Female,,,30.0,100.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Sex-specific adult ALP reference intervals.
alp_u_l,LBXSAPSI_alkaline_phosphatase_alp_iu_l,interval,Male,,,30.0,115.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Sex-specific adult ALP reference intervals.
alp_u_l,LBXSAPSI_alkaline_phosphatase_alp_iu_l,interval,Female,,,30.0,100.0,,ACG abnormal liver chemistries guideline,https://pubmed.ncbi.nlm.nih.gov/27995906/,Sex-specific adult ALP reference intervals.
total_bilirubin_mg_dl,total_bilirubin_mg_dl,interval,,,,0.2,1.2,,Medscape bilirubin overview,https://emedicine.medscape.com/article/2074068-overview,General adult total bilirubin reference interval.
total_bilirubin_mg_dl,LBXSTB_total_bilirubin_mg_dl,interval,,,,0.2,1.2,,Medscape bilirubin overview,https://emedicine.medscape.com/article/2074068-overview,General adult total bilirubin reference interval.
total_cholesterol_mg_dl,total_cholesterol_mg_dl,upper_only,,,,,200.0,200.0,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423,Desirable total cholesterol <200 mg/dL.
total_cholesterol_mg_dl,LBXTC_total_cholesterol_mg_dl,upper_only,,,,,200.0,200.0,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423,Desirable total cholesterol <200 mg/dL.
hdl_cholesterol_mg_dl,hdl_cholesterol_mg_dl,interval,Male,,,40.0,80.0,,Cleveland Clinic HDL guidance,https://my.clevelandclinic.org/health/articles/24395-hdl-cholesterol,Sex-specific normal HDL range.
hdl_cholesterol_mg_dl,hdl_cholesterol_mg_dl,interval,Female,,,50.0,80.0,,Cleveland Clinic HDL guidance,https://my.clevelandclinic.org/health/articles/24395-hdl-cholesterol,Sex-specific normal HDL range.
hdl_cholesterol_mg_dl,LBDHDD_direct_hdl_cholesterol_mg_dl,interval,Male,,,40.0,80.0,,Cleveland Clinic HDL guidance,https://my.clevelandclinic.org/health/articles/24395-hdl-cholesterol,Sex-specific normal HDL range.
hdl_cholesterol_mg_dl,LBDHDD_direct_hdl_cholesterol_mg_dl,interval,Female,,,50.0,80.0,,Cleveland Clinic HDL guidance,https://my.clevelandclinic.org/health/articles/24395-hdl-cholesterol,Sex-specific normal HDL range.
triglycerides_mg_dl,triglycerides_mg_dl,upper_only,,,,,150.0,150.0,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423,Normal triglycerides <150 mg/dL.
triglycerides_mg_dl,LBXTR_triglyceride_mg_dl,upper_only,,,,,150.0,150.0,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423,Normal triglycerides <150 mg/dL.
ldl_cholesterol_mg_dl,LBDLDL_ldl_cholesterol_friedewald_mg_dl,upper_only,,,,,100.0,100.0,ACC/AHA dyslipidemia guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001423,General desirable LDL target <100 mg/dL.
ferritin_ng_ml,ferritin_ng_ml,interval,Male,18.0,120.0,12.0,300.0,,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.
ferritin_ng_ml,ferritin_ng_ml,interval,Female,18.0,49.0,12.0,150.0,,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.
ferritin_ng_ml,ferritin_ng_ml,interval,Female,50.0,120.0,12.0,200.0,,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.
ferritin_ng_ml,LBXFER_ferritin_ng_ml,interval,Male,18.0,120.0,12.0,300.0,,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.
ferritin_ng_ml,LBXFER_ferritin_ng_ml,interval,Female,18.0,49.0,12.0,150.0,,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.
ferritin_ng_ml,LBXFER_ferritin_ng_ml,interval,Female,50.0,120.0,12.0,200.0,,CDC Nutrition Report and WHO ferritin guidance,https://www.cdc.gov/nutrition-report/media/Trace.pdf,Premenopausal vs postmenopausal female split approximated with age 50 because menopause status is not consistently available.
serum_iron_ug_dl,serum_iron_ug_dl,interval,Male,,,59.0,158.0,,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation,Sex-specific adult serum iron reference intervals.
serum_iron_ug_dl,serum_iron_ug_dl,interval,Female,,,37.0,145.0,,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation,Sex-specific adult serum iron reference intervals.
serum_iron_ug_dl,LBXIRN_iron_frozen_serum_ug_dl,interval,Male,,,59.0,158.0,,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation,Sex-specific adult serum iron reference intervals.
serum_iron_ug_dl,LBXIRN_iron_frozen_serum_ug_dl,interval,Female,,,37.0,145.0,,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation,Sex-specific adult serum iron reference intervals.
serum_iron_ug_dl,LBXSIR_iron_refrigerated_serum_ug_dl,interval,Male,,,59.0,158.0,,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation,Sex-specific adult serum iron reference intervals.
serum_iron_ug_dl,LBXSIR_iron_refrigerated_serum_ug_dl,interval,Female,,,37.0,145.0,,MSD Manual serum iron interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation,Sex-specific adult serum iron reference intervals.
tibc_ug_dl,tibc_ug_dl,interval,,,,235.0,451.0,,MSD Manual TIBC interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation,General adult TIBC reference interval.
tibc_ug_dl,LBDTIB_total_iron_binding_capacity_tibc_ug_dl,interval,,,,235.0,451.0,,MSD Manual TIBC interval,https://www.msdmanuals.com/professional/multimedia/table/typical-normal-serum-values-for-iron-iron-binding-capacity-ferritin-and-transferrin-saturation,General adult TIBC reference interval.
transferrin_saturation_pct,transferrin_saturation_pct,interval,Male,,,20.0,50.0,,Medscape transferrin saturation interval,https://emedicine.medscape.com/article/2087960-overview,Sex-specific adult transferrin saturation intervals.
transferrin_saturation_pct,transferrin_saturation_pct,interval,Female,,,15.0,50.0,,Medscape transferrin saturation interval,https://emedicine.medscape.com/article/2087960-overview,Sex-specific adult transferrin saturation intervals.
transferrin_saturation_pct,LBDPCT_transferrin_saturation,interval,Male,,,20.0,50.0,,Medscape transferrin saturation interval,https://emedicine.medscape.com/article/2087960-overview,Sex-specific adult transferrin saturation intervals.
transferrin_saturation_pct,LBDPCT_transferrin_saturation,interval,Female,,,15.0,50.0,,Medscape transferrin saturation interval,https://emedicine.medscape.com/article/2087960-overview,Sex-specific adult transferrin saturation intervals.
bmi_kg_m2,bmi,interval,,,,18.5,24.9,,WHO BMI categories,https://www.worldobesity.org/about/about-obesity/obesity-classification,Healthy BMI interval 18.5-24.9 kg/m^2.
waist_cm,waist_cm,upper_only,Male,,,,102.0,102.0,NIH NHLBI waist circumference risk,https://www.nhlbi.nih.gov/health/educational/lose_wt/risk.htm,Sex-specific at-risk waist thresholds.
waist_cm,waist_cm,upper_only,Female,,,,88.0,88.0,NIH NHLBI waist circumference risk,https://www.nhlbi.nih.gov/health/educational/lose_wt/risk.htm,Sex-specific at-risk waist thresholds.
sbp_mm_hg,sbp_1,upper_only,,,,,120.0,120.0,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356,Normal systolic blood pressure threshold <120 mmHg.
sbp_mm_hg,sbp_2,upper_only,,,,,120.0,120.0,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356,Normal systolic blood pressure threshold <120 mmHg.
sbp_mm_hg,sbp_3,upper_only,,,,,120.0,120.0,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356,Normal systolic blood pressure threshold <120 mmHg.
dbp_mm_hg,dbp_1,upper_only,,,,,80.0,80.0,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356,Normal diastolic blood pressure threshold <80 mmHg.
dbp_mm_hg,dbp_2,upper_only,,,,,80.0,80.0,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356,Normal diastolic blood pressure threshold <80 mmHg.
dbp_mm_hg,dbp_3,upper_only,,,,,80.0,80.0,ACC/AHA blood pressure guideline,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001356,Normal diastolic blood pressure threshold <80 mmHg.
hs_crp_mg_l,LBXHSCRP_hs_c_reactive_protein_mg_l,upper_only,,,,,3.0,3.0,AHA/CDC hs-CRP statement,https://www.ahajournals.org/doi/10.1161/01.cir.0000093381.57779.67,High cardiovascular risk threshold >3.0 mg/L.
