column,action,method,reason,source_label,source_url
LBDES1LC_estrone_sulfate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDESOLC_estrone_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDESTLC_estradiol_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDFSHLC_fsh_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDHBG_hepatitis_b_surface_antigen,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDHCI_hepatitis_c_antibody_confirmed,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDHCOLC_hydroxycotinine_serum_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDHD_hepatitis_d_antibody_anti_hdv,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDHEG_hepatitis_e_igg_anti_hev,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDHEM_hepatitis_e_igm_anti_hev,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDHRPLC_hs_c_reactive_protein_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDIHGLC_mercury_inorganic_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDINLC,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDLUHLC_luteinizing_hormone_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDMFOSL_sm_pfos_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDMPAHL_2_n_methyl_pfosa_acetic_acid_comt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDNFOAL_n_perfluorooctanoic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDNFOSL_n_perfluorooctane_sulfonic_comt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDPFDEL_perfluorodecanoic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDPFHSL_perfluorohexane_sulfonic_acid_comt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDPFNAL_perfluorononanoic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDPFUAL_perfluoroundecanoic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDPG4LC_progesterone_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSATLC_alt_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSF1LC_5_methyl_tetrahydrofolate_cmt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSF2LC_folic_acid_cmt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSF3LC_5_formyl_tetrahydrofolate_cmt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSF4LC_tetrahydrofolate_cmt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSF5LC_5_10_methenyl_tetrahydrofolate_cmt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSF6LC_mefox_oxidation_product_cmt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSGTLC_ggt_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSHGLC_shbg_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDSTBLC_total_bilirubin_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDTHGLC_blood_mercury_total_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDUIBLC_uibc_serum_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDV06LC_blood_hexane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDV07LC_blood_heptane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDV08LC_blood_octane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDV1DLC_blood_1_2_dichlorobenzene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDV2ALC_blood_1_2_dichloroethane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDV3BLC_blood_1_3_dichlorobenzene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDV4CLC_blood_tetrachloroethene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVBFLC_blood_bromoform_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVBMLC_blood_bromodichloromethane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVBZLC_blood_benzene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVC6LC_blood_cyclohexane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVCBLC_blood_chlorobenzene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVCFLC_blood_chloroform_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVCMLC_blood_dibromochloromethane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVCTLC_blood_carbon_tetrachloride_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVDBLC_blood_1_4_dichlorobenzene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVDELC_blood_1_2_dibromoethane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVEALC_blood_ethyl_acetate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVEBLC_blood_ethylbenzene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVECLC_blood_chloroethane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVEELC_blood_diethyl_ether_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVFNLC_blood_furan_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVFTLC_blood_aaa_trifluorotoluene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVHTLC_blood_tetrahydrofuran_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVIBLC_blood_isobutyronitrile_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVIPLC_blood_isopropylbenzene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVMCLC_blood_methylene_chloride_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVMELC_blood_mtbe_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVMKLC_blood_methyl_isobutyl_ketone_comt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVMPLC_blood_methylcyclopentane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVNBLC_blood_nitrobenzene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVOXLC_blood_o_xylene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVTCLC_blood_trichloroethene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVTELC_blood_1_1_1_trichloroethane_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVTPLC_blood_1_2_3_trichloropropane_comt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVVBLC_blood_vinyl_bromide_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVXYLC_blood_m_p_xylene_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBDVZBLC_blood_benzonitrile_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBX4CE_blood_1_1_1_2_tetrachloroethane_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXBFOA_br_perfluorooctanoic_acid_iso_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXHA_hepatitis_a_antibody,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXHBC_hepatitis_b_core_antibody,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXHBS_hepatitis_b_surface_antibody,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXHCG_hepatitis_c_genotype,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXHCR_hepatitis_c_rna,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXIGGA_cytomegalovirus_cmv_igg_avidity,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXIGG_cytomegalovirus_cmv_igg,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXIGM_cytomegalovirus_cmv_igm,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXV06_blood_hexane_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXV1D_blood_1_2_dichlorobenzene_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXV3B_blood_1_3_dichlorobenzene_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVCB_blood_chlorobenzene_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVCT_blood_carbon_tetrachloride_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVDEE_blood_diethyl_ether_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVDE_blood_1_2_dibromoethane_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVEC_blood_chloroethane_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVIPB_blood_isopropylbenzene_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVMC_blood_methylene_chloride_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVMIK_blood_methyl_isobutyl_ketone_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVNB_blood_nitrobenzene_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVTE_blood_1_1_1_trichloroethane_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVTFT_blood_aaa_trifluorotoluene_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVTP_blood_1_2_3_trichloropropane_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
LBXVVB_blood_vinyl_bromide_ng_ml,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
PHDSESN_session_in_which_sp_was_examined,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
PHQ020_coffee_or_tea_with_cream_or_sugar,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
PHQ030_alcohol_such_as_beer_wine_or_liquor,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
PHQ040_gum_mints_lozenges_or_cough_drops,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
PHQ050_antacids_laxatives_or_anti_diarrheals,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
PHQ060_dietary_supplements,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SEQN,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
