canonical_feature,mapped_dataset_column,nhanes_code_match,chosen_cohort_column,match_strategy,included_in_model,feature_non_null
mcq092___ever_receive_blood_transfusion,mcq092___ever_receive_blood_transfusion,MCQ092,mcq092_transfusion,nhanes_code,True,16789
ocq670___overall_work_schedule_past_3_months,ocq670___overall_work_schedule_past_3_months,OCQ670,,,False,0
heq030___ever_told_you_have_hepatitis_c?,heq030___ever_told_you_have_hepatitis_c?,HEQ030,,,False,0
paq620___moderate_work_activity,paq620___moderate_work_activity,PAQ620,,,False,0
smq040___do_you_now_smoke_cigarettes?,smq040___do_you_now_smoke_cigarettes?,SMQ040,smq040_smoke_now,nhanes_code,True,4844
weight_kg,weight_kg,BMXWT,weight_kg,derived_or_exact,True,19376
whq070___tried_to_lose_weight_in_past_year,whq070___tried_to_lose_weight_in_past_year,WHQ070,whq070_tried_to_lose_weight,nhanes_code,True,11115
pregnancy_status_bin,pregnancy_status_bin,,pregnancy_status_bin,derived_or_exact,True,6039
total_cholesterol_mg_dl,total_cholesterol_mg_dl,LBXTC,,,False,0
sld012___sleep_hours___weekdays_or_workdays,sld012___sleep_hours___weekdays_or_workdays,SLD012,,,False,0
bpq020___ever_told_you_had_high_blood_pressure,bpq020___ever_told_you_had_high_blood_pressure,BPQ020,bpq020_high_bp,nhanes_code,True,12277
mcq160l___ever_told_you_had_any_liver_condition,mcq160l___ever_told_you_had_any_liver_condition,MCQ160L,mcq160l_liver_condition,nhanes_code,True,10019
pad680___minutes_sedentary_activity,pad680___minutes_sedentary_activity,PAD680,,,False,0
LBXSTP_total_protein_g_dl,LBXSTP_total_protein_g_dl,LBXSTP,total_protein_g_dl,nhanes_code,True,12911
huq051___#times_receive_healthcare_over_past_year,huq051___#times_receive_healthcare_over_past_year,HUQ051,,,False,0
kiq450___how_frequently_does_this_occur?,kiq450___how_frequently_does_this_occur?,KIQ450,,,False,0
mcq195___which_type_of_arthritis_was_it?,mcq195___which_type_of_arthritis_was_it?,MCQ195,,,False,0
mcq366d___doctor_told_to_reduce_fat_in_diet,mcq366d___doctor_told_to_reduce_fat_in_diet,MCQ366D,,,False,0
mcq520___abdominal_pain_during_past_12_months?,mcq520___abdominal_pain_during_past_12_months?,MCQ520,,,False,0
ocq180___hours_worked_last_week_in_total_all_jobs,ocq180___hours_worked_last_week_in_total_all_jobs,OCQ180,ocq180_hours_worked_week,nhanes_code,True,6122
"whq040___like_to_weigh_more,_less_or_same","whq040___like_to_weigh_more,_less_or_same",WHQ040,whq040_weight_preference,nhanes_code,True,12352
bmi,bmi,BMXBMI,bmi,derived_or_exact,True,17636
LBDLDL_ldl_cholesterol_friedewald_mg_dl,LBDLDL_ldl_cholesterol_friedewald_mg_dl,LBDLDL,,,False,0
kiq005___how_often_have_urinary_leakage?,kiq005___how_often_have_urinary_leakage?,KIQ005,kiq005_urinary_leakage_freq,nhanes_code,True,4348
rhq031___had_regular_periods_in_past_12_months,rhq031___had_regular_periods_in_past_12_months,RHQ031,rhq031_regular_periods,nhanes_code,True,6401
sld013___sleep_hours___weekends,sld013___sleep_hours___weekends,SLD013,,,False,0
kiq022___ever_told_you_had_weak/failing_kidneys?,kiq022___ever_told_you_had_weak/failing_kidneys?,KIQ022,kiq022_weak_kidneys,nhanes_code,True,10019
kiq026___ever_had_kidney_stones?,kiq026___ever_had_kidney_stones?,KIQ026,,,False,0
kiq044___urinated_before_reaching_the_toilet?,kiq044___urinated_before_reaching_the_toilet?,KIQ044,kiq044_urge_incontinence,nhanes_code,True,8910
mcq160b___ever_told_you_had_congestive_heart_failure,mcq160b___ever_told_you_had_congestive_heart_failure,MCQ160B,mcq160b_heart_failure,nhanes_code,True,10019
rhq060___age_at_last_menstrual_period,rhq060___age_at_last_menstrual_period,RHQ060,rhq060_age_last_period,nhanes_code,True,2175
rhq540___ever_use_female_hormones?,rhq540___ever_use_female_hormones?,RHQ540,rhq540_hormone_use,nhanes_code,True,4479
alq111___ever_had_a_drink_of_any_kind_of_alcohol,alq111___ever_had_a_drink_of_any_kind_of_alcohol,ALQ111,,,False,0
bpq050a___now_taking_prescribed_medicine_for_hbp,bpq050a___now_taking_prescribed_medicine_for_hbp,BPQ050A,,,False,0
diq050___taking_insulin_now,diq050___taking_insulin_now,DIQ050,diq050_insulin,nhanes_code,True,19467
kiq010___how_much_urine_lose_each_time?,kiq010___how_much_urine_lose_each_time?,KIQ010,,,False,0
kiq042___leak_urine_during_physical_activities?,kiq042___leak_urine_during_physical_activities?,KIQ042,kiq042_leak_exertion,nhanes_code,True,8911
kiq052___how_much_were_daily_activities_affected?,kiq052___how_much_were_daily_activities_affected?,KIQ052,,,False,0
kiq430___how_frequently_does_this_occur?,kiq430___how_frequently_does_this_occur?,KIQ430,,,False,0
mcq160e___ever_told_you_had_heart_attack,mcq160e___ever_told_you_had_heart_attack,MCQ160E,,,False,0
rhq131___ever_been_pregnant?,rhq131___ever_been_pregnant?,RHQ131,rhq131_ever_pregnant,nhanes_code,True,6401
rhq160___how_many_times_have_been_pregnant?,rhq160___how_many_times_have_been_pregnant?,RHQ160,,,False,0
smq078___how_soon_after_waking_do_you_smoke,smq078___how_soon_after_waking_do_you_smoke,SMQ078,,,False,0
diq010___doctor_told_you_have_diabetes,diq010___doctor_told_you_have_diabetes,DIQ010,diq010_diabetes,nhanes_code,True,19467
mcq160f___ever_told_you_had_stroke,mcq160f___ever_told_you_had_stroke,MCQ160F,,,False,0
mcq540___ever_seen_a_dr_about_this_pain,mcq540___ever_seen_a_dr_about_this_pain,MCQ540,,,False,0
